name,computed_bridge_index
12n_0807_reversed_524,4
12n_0807_reversed_525,4
12n_0807_reversed_526,3
12n_0807_reversed_527,3
12n_0807_reversed_528,4
12n_0807_reversed_529,3
12n_0807_reversed_530,4
12n_0807_reversed_531,4
12n_0807_reversed_532,3
12n_0807_reversed_533,4
12n_0807_reversed_534,3
12n_0807_reversed_535,3
12n_0807_reversed_536,4
12n_0807_reversed_537,4
12n_0807_reversed_538,3
12n_0807_reversed_539,3
12n_0807_reversed_540,4
12n_0807_reversed_541,3
12n_0807_reversed_542,4
12n_0807_reversed_543,4
12n_0807_reversed_544,3
12n_0807_reversed_545,4
12n_0807_reversed_546,3
12n_0807_reversed_547,3
12n_0807_reversed_548,4
12n_0807_reversed_549,4
12n_0807_reversed_550,3
12n_0807_reversed_551,3
12n_0807_reversed_552,4
12n_0807_reversed_553,3
12n_0807_reversed_554,4
12n_0807_reversed_555,4
12n_0807_reversed_556,3
12n_0807_reversed_557,4
12n_0807_reversed_558,3
12n_0807_reversed_559,3
12n_0807_reversed_560,4
12n_0807_reversed_561,4
12n_0807_reversed_562,3
12n_0807_reversed_563,3
12n_0807_reversed_564,4
12n_0807_reversed_565,3
12n_0807_reversed_566,4
12n_0807_reversed_567,4
12n_0807_reversed_568,3
12n_0807_reversed_569,4
12n_0807_reversed_570,3
12n_0807_reversed_571,3
12n_0807_reversed_572,4
12n_0807_reversed_573,4
12n_0807_reversed_574,3
12n_0807_reversed_575,3
