name,computed_bridge_index
12a_1283_132,3
12a_1283_133,3
12a_1283_134,3
12a_1283_135,3
12a_1283_136,3
12a_1283_137,3
12a_1283_138,3
12a_1283_139,3
12a_1283_140,3
12a_1283_141,3
12a_1283_142,3
12a_1283_143,3
12a_1283_144,3
12a_1283_145,3
12a_1283_146,3
12a_1283_147,3
12a_1283_148,3
12a_1283_149,3
12a_1283_150,3
12a_1283_151,3
12a_1283_152,3
12a_1283_153,3
12a_1283_154,3
12a_1283_155,3
12a_1283_156,3
12a_1283_157,3
12a_1283_158,3
12a_1283_159,3
12a_1283_160,3
12a_1283_161,3
12a_1283_162,3
12a_1283_163,3
12a_1283_164,3
12a_1283_165,3
12a_1283_166,3
12a_1283_167,3
12a_1283_168,3
12a_1283_169,3
12a_1283_170,3
12a_1283_171,3
12a_1283_172,3
12a_1283_173,3
12a_1283_174,3
12a_1283_175,3
12a_1283_176,3
12a_1283_177,3
12a_1283_178,3
12a_1283_179,3
12a_1283_180,3
12a_1283_181,3
12a_1283_182,3
12a_1283_183,3
12a_1283_184,3
12a_1283_185,3
12a_1283_186,3
12a_1283_187,3
12a_1283_188,3
12a_1283_189,3
12a_1283_190,3
12a_1283_191,3
12a_1283_192,3
12a_1283_193,3
12a_1283_194,3
12a_1283_195,3
12a_1283_196,3
12a_1283_197,3
12a_1283_198,3
12a_1283_199,3
12a_1283_200,3
12a_1283_201,3
12a_1283_202,3
12a_1283_203,3
12a_1283_204,3
12a_1283_205,3
12a_1283_206,3
12a_1283_207,3
12a_1283_208,3
12a_1283_209,3
12a_1283_210,3
12a_1283_211,3
12a_1283_212,3
12a_1283_213,3
12a_1283_214,3
12a_1283_215,3
12a_1283_216,3
12a_1283_217,3
12a_1283_218,3
12a_1283_219,3
12a_1283_220,3
12a_1283_221,3
12a_1283_222,3
12a_1283_223,3
12a_1283_224,3
12a_1283_225,3
12a_1283_226,3
12a_1283_227,3
12a_1283_228,3
12a_1283_229,3
12a_1283_230,3
12a_1283_231,3
12a_1283_232,3
12a_1283_233,3
12a_1283_234,3
12a_1283_235,3
12a_1283_236,3
12a_1283_237,3
12a_1283_238,3
12a_1283_239,3
12a_1283_240,3
12a_1283_241,3
12a_1283_242,3
12a_1283_243,3
12a_1283_244,3
12a_1283_245,3
12a_1283_246,3
